ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
0	58460	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	6.333511750		
1	59005	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	14.715891250		
2	226183	K7	ABORT	-1	-1	2	1	6	5	0	1	100796	0	469.333442208		
3	269042	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	12.825888125		
4	269045	K7	ABORT	-1	-1	3	2	13	11	0	2	202153	0	146.757677417		
5	293735	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	13.265454083		
6	314948	K7	ABORT	-1	-1	2	1	12	11	0	1	135902	0	223.426271958		
7	316173	K7	ABORT	-1	-1	3	2	7	5	0	2	200417	0	97.381546333		
8	330764	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	107.298008542		
9	342800	K7	ABORT	-1	-1	2	1	6	5	0	1	100326	0	13.460662916		
10	342830	K7	ABORT	-1	-1	2	1	7	6	0	1	100583	0	145.613967917		
11	379078	K7	KILLED	1	1	2	1	24	24	0	0	18361	0	1.020391000		
12	379082	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	8.406991000		
13	386036	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	6.383814875		
14	423661	K7	KILLED	1	1	2	1	24	24	0	0	76351	0	6.873072875		
15	424226	K7	KILLED	1	1	2	1	24	24	0	0	23403	0	1.954949750		
16	477118	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	183.098525125		
17	576125	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	80.909356042		
18	580242	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	151.556614959		
19	580243	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	10.383039750		
20	764898	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	159.148220875		
21	771391	K7	ABORT	-1	-1	2	1	6	5	0	1	100847	0	144.752496375		
22	772641	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	677.505511708		
23	1047307	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	75.598543084		
24	1150655	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	134.198841958		
25	1442609	K7	ABORT	-1	-1	2	1	1	0	0	1	100001	0	7.579942208		
26	1442692	K7	ABORT	-1	-1	3	2	2	0	0	2	200002	0	19.598350792		
27	1596563	K7	ABORT	-1	-1	2	1	7	6	0	1	100485	0	78.072546625		
