index	applicable	baseline_decision	refined_decision	first_baseline_failing_seed	first_refined_failing_seed	seeds	covers	baseline_passing_covers	refined_passing_covers	newly_failed_covers	support_families_checked	propagated_coordinate_deletions	refinement_cache_hits	assignment_fail_empty_propagated_mask	assignment_fail_disjoint_required_edge	assignment_fail_clique	assignment_fail_degree	assignment_fail_basis	assignment_fail_mask	assignment_fail_subspace_K	assignment_fail_component_B
3030256	1	REJECTED	REJECTED	233620	233620	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248824	1	REJECTED	REJECTED	394315	394315	2	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2094955	1	REJECTED	REJECTED	299338	299338	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
817260	1	REJECTED	REJECTED	150690	150690	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
667715	1	SURVIVOR	SURVIVOR	0	0	1	93	2	2	0	80	318	0	0	78	0	0	0	0	0	0
3558001	1	SURVIVOR	REJECTED	0	84007	1	176	1	0	1	1	4	0	0	1	0	0	0	0	0	0
150757	1	SURVIVOR	SURVIVOR	0	0	1	93	5	1	4	61	462	0	32	28	0	0	0	0	0	0
842369	1	SURVIVOR	SURVIVOR	0	0	1	93	2	2	0	76	283	0	0	74	0	0	0	0	0	0
3126496	1	REJECTED	REJECTED	344103	344103	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1507066	1	REJECTED	REJECTED	90379	90379	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1597694	1	REJECTED	REJECTED	340176	340176	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3170403	1	REJECTED	REJECTED	111140	111140	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3769863	1	REJECTED	REJECTED	297172	297172	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1568003	1	REJECTED	REJECTED	173091	173091	1	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3656200	1	REJECTED	REJECTED	333345	333345	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3339474	1	REJECTED	REJECTED	229391	229391	3	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2213233	1	REJECTED	REJECTED	76948	76948	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3334197	1	REJECTED	REJECTED	282256	282256	2	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3903789	1	REJECTED	REJECTED	272714	272714	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3931377	1	REJECTED	REJECTED	336800	336800	3	221	4	2	2	34	148	0	0	32	0	0	0	0	0	0
1460969	1	REJECTED	REJECTED	100938	100938	1	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3303300	1	REJECTED	REJECTED	172323	172323	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224985	1	REJECTED	REJECTED	151764	151764	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2573244	1	REJECTED	REJECTED	336933	336933	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2957278	1	SURVIVOR	SURVIVOR	0	0	1	176	4	2	2	406	3517	0	254	150	0	0	0	0	0	0
862256	1	REJECTED	REJECTED	103588	103588	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1644036	1	REJECTED	REJECTED	275108	275108	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
861960	1	REJECTED	REJECTED	39205	39205	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2411819	1	REJECTED	REJECTED	166722	166722	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2211123	1	REJECTED	REJECTED	107424	107424	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2531351	1	REJECTED	REJECTED	336933	336933	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2592168	1	SURVIVOR	SURVIVOR	0	0	2	84	8	4	4	220	848	0	0	216	0	0	0	0	0	0
2606504	1	REJECTED	REJECTED	29632	29632	1	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
603379	1	REJECTED	REJECTED	164645	164645	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2720951	1	REJECTED	REJECTED	46016	46016	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3377732	1	REJECTED	REJECTED	332106	332106	3	186	1	1	0	1	0	0	0	0	0	0	0	0	0	0
2901827	1	REJECTED	REJECTED	332948	332948	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3579115	1	REJECTED	REJECTED	84298	84298	1	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2374276	1	REJECTED	REJECTED	107557	107557	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3331537	1	SURVIVOR	SURVIVOR	0	0	3	279	21	21	0	5729	49723	0	4431	1277	0	0	0	0	0	0
1605818	1	REJECTED	REJECTED	136100	136100	3	147	2	2	0	41	171	0	0	39	0	0	0	0	0	0
1267484	1	REJECTED	REJECTED	152724	152724	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2935824	1	REJECTED	REJECTED	152228	152228	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2443599	1	REJECTED	REJECTED	336907	336907	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2373890	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	83	363	0	0	81	0	0	0	0	0	0
3961502	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	17	83	0	0	15	0	0	0	0	0	0
1796727	1	REJECTED	REJECTED	104536	104536	1	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3913657	1	REJECTED	REJECTED	331815	331815	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2743446	1	SURVIVOR	REJECTED	0	238856	1	29	1	0	1	1	4	0	0	1	0	0	0	0	0	0
892850	1	REJECTED	REJECTED	268581	268581	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3141965	1	REJECTED	REJECTED	342592	342592	1	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2594965	1	REJECTED	REJECTED	299968	299968	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2922202	1	REJECTED	REJECTED	344394	344394	2	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3094211	1	REJECTED	REJECTED	312345	312345	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1651760	1	REJECTED	REJECTED	172866	172866	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888995	1	REJECTED	REJECTED	345123	345123	2	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3251736	1	REJECTED	REJECTED	124931	124931	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646332	1	SURVIVOR	REJECTED	0	184528	1	130	1	0	1	1	5	0	0	1	0	0	0	0	0	0
970504	1	REJECTED	REJECTED	165963	165963	2	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1037148	1	REJECTED	REJECTED	160912	160912	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2948845	1	REJECTED	REJECTED	38068	38068	3	426	8	3	5	83	359	0	0	80	0	0	0	0	0	0
3709819	1	REJECTED	REJECTED	75289	75289	3	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398872	1	REJECTED	REJECTED	164645	164645	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1116035	1	REJECTED	REJECTED	168656	168656	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
792584	1	REJECTED	REJECTED	150690	150690	1	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
