ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
858	3950296	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.000136750		
859	3950335	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	21.577497500		
860	3950336	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.990245833		
861	3950358	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	12.215191750		
862	3950360	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	25.156869042		
863	3950361	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.301294000		
864	3950363	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.468183250		
865	3950385	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.428089875		
866	3950388	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.948809459		
867	3950400	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	9.784811709		
868	3950401	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	9.992855250		
869	3950409	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.409886959		
870	3950410	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.101701792		
871	3950483	K7	KILLED	1	1	4	1	24	24	0	0	4287	0	0.300819709		
872	3950509	K6	UNRESOLVED	-1	-1	0	0	0	0	0	0	0	0	0.003079750		
873	3950793	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.839192458		
874	3950801	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.815691709		
875	3950943	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.084080209		
876	3950965	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.968098666		
877	3951638	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.521814500		
878	3951908	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.721560583		
879	3951911	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.270822708		
880	3951991	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.942985875		
881	3951992	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.326318958		
882	3952113	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.997994792		
883	3952169	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.995739291		
884	3954523	K7	ABORT	-1	-1	4	3	9	6	0	3	60393	0	19.471269959		
885	3954653	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	8.342994375		
886	3954942	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.425781792		
887	3955456	K7	ABORT	-1	-1	2	1	6	5	0	1	25957	0	15.211165625		
888	3956241	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.267317250		
889	3959115	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	11.789571583		
890	3959234	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.650875250		
891	3959243	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	6.136113125		
892	3959842	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.329939958		
893	3960292	K7	KILLED	1	1	3	1	24	24	0	0	10992	0	0.639772416		
894	3960639	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.190866542		
895	3961097	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	23.946358500		
896	3961237	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.677501042		
897	3963005	K7	ABORT	-1	-1	4	3	8	5	0	3	60731	0	20.090334667		
898	3963073	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.315533500		
899	3967473	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.201386250		
900	3967865	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.182769459		
901	3967866	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.834868250		
902	3967867	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.253106042		
903	3967868	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	5.185066542		
904	3967904	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.590521042		
905	3968073	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.788933291		
906	3968080	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	12.866867125		
907	3968081	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.731393500		
908	3968088	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.142615792		
909	3968742	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	4.144271334		
910	3969676	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.139689333		
